lote,tiempo_h,estrategia,real_g_l,predicho_g_l,referencia_g_l,error_g_l,error_absoluto_g_l,tramo_h,nivel_concentracion
1,0.2,Receta,1.0178e-25,0.070563145,0.001,-0.07056314498186111,0.07056314498186111,0–50,Baja
1,0.4,Receta,0.001,0.06392668,0.000999445,-0.06292668187618256,0.06292668187618256,0–50,Baja
1,0.6,Receta,0.00099934,0.05175542,0.000998895,-0.050756080863628386,0.050756080863628386,0–50,Baja
1,0.8,Receta,0.00099874,0.0,0.000998335,0.00099874,0.00099874,0–50,Baja
1,1.0,Receta,0.00099821,0.0,0.000997875,0.00099821,0.00099821,0–50,Baja
1,1.2,Receta,0.00099771,0.0,0.0009973500000000001,0.00099771,0.00099771,0–50,Baja
1,1.4,Receta,0.00099722,0.020442253,0.000996835,-0.019445032978682518,0.019445032978682518,0–50,Baja
1,1.6,Receta,0.00099674,0.075185224,0.00099636,-0.07418848441387177,0.07418848441387177,0–50,Baja
1,1.8,Receta,0.00099627,0.08315429,0.000995855,-0.08215802091453553,0.08215802091453553,0–50,Baja
1,2.0,Receta,0.0009958,0.111893296,0.000995345,-0.11089749624176025,0.11089749624176025,0–50,Baja
1,2.2,Receta,0.0009953,0.032166775,0.000994825,-0.031171475315999984,0.031171475315999984,0–50,Baja
1,2.4,Receta,0.00099477,0.029483117,0.0009942800000000002,-0.028488347163181306,0.028488347163181306,0–50,Baja
1,2.6,Receta,0.00099421,0.03868675,0.000993725,-0.03769253859404564,0.03769253859404564,0–50,Baja
1,2.8,Receta,0.00099363,0.044876885,0.000993185,-0.04388325466906547,0.04388325466906547,0–50,Baja
1,3.0,Receta,0.00099306,0.03054221,0.0009926499999999999,-0.02954914974445343,0.02954914974445343,0–50,Baja
1,3.2,Receta,0.00099251,0.0,0.00099211,0.00099251,0.00099251,0–50,Baja
1,3.4,Receta,0.00099198,0.0046057133,0.0009915549999999999,-0.003613733300406933,0.003613733300406933,0–50,Baja
1,3.6,Receta,0.00099147,0.0,0.00099102,0.00099147,0.00099147,0–50,Baja
1,3.8,Receta,0.00099095,0.02106026,0.000990475,-0.020069310012745856,0.020069310012745856,0–50,Baja
1,4.0,Receta,0.00099039,0.015970353,0.000989925,-0.014979963037118911,0.014979963037118911,0–50,Baja
1,4.2,Receta,0.00098981,0.029553711,0.000989355,-0.028563901414337158,0.028563901414337158,0–50,Baja
1,4.4,Receta,0.00098922,0.029125445,0.000988775,-0.02813622459104538,0.02813622459104538,0–50,Baja
1,4.6,Receta,0.00098863,0.029873993,0.000988205,-0.02888536324774742,0.02888536324774742,0–50,Baja
1,4.8,Receta,0.00098806,0.0,0.00098764,0.00098806,0.00098806,0–50,Baja
1,5.0,Receta,0.00098753,0.0,0.0009871,0.00098753,0.00098753,0–50,Baja
1,5.2,Receta,0.00098702,0.0,0.00098657,0.00098702,0.00098702,0–50,Baja
1,5.4,Receta,0.00098651,0.005171568,0.00098602,-0.004185058132936955,0.004185058132936955,0–50,Baja
1,5.6,Receta,0.00098597,0.0,0.0009854500000000001,0.00098597,0.00098597,0–50,Baja
1,5.8,Receta,0.0009854,0.007130038,0.00098488,-0.006144637993192673,0.006144637993192673,0–50,Baja
1,6.0,Receta,0.00098481,0.0075971633,0.00098433,-0.0066123533195877075,0.0066123533195877075,0–50,Baja
1,6.2,Receta,0.00098423,0.0027715834,0.000983775,-0.0017873533857655525,0.0017873533857655525,0–50,Baja
1,6.4,Receta,0.00098366,0.0021378165,0.000983215,-0.0011541565110945702,0.0011541565110945702,0–50,Baja
1,6.6,Receta,0.00098312,0.0,0.00098266,0.00098312,0.00098312,0–50,Baja
1,6.8,Receta,0.00098259,0.0,0.000982105,0.00098259,0.00098259,0–50,Baja
1,7.0,Receta,0.00098207,0.0,0.00098154,0.00098207,0.00098207,0–50,Baja
1,7.2,Receta,0.00098153,0.0032850155,0.00098096,-0.002303485467554331,0.002303485467554331,0–50,Baja
1,7.4,Receta,0.00098096,0.023329506,0.0009803899999999998,-0.02234854569689274,0.02234854569689274,0–50,Baja
1,7.6,Receta,0.00098037,0.0036244325,0.0009798300000000001,-0.0026440624874132872,0.0026440624874132872,0–50,Baja
1,7.8,Receta,0.00097977,0.030565538,0.0009792350000000002,-0.029585767512302397,0.029585767512302397,0–50,Baja
1,8.0,Receta,0.00097918,0.0064186663,0.0009786299999999999,-0.0054394863366854194,0.0054394863366854194,0–50,Baja
1,8.2,Receta,0.00097861,0.047886282,0.00097803,-0.04690767220558167,0.04690767220558167,0–50,Baja
1,8.4,Receta,0.00097805,0.13928339,0.00097743,-0.1383053388530731,0.1383053388530731,0–50,Baja
1,8.6,Receta,0.00097751,0.114984855,0.0009768300000000001,-0.11400734505580902,0.11400734505580902,0–50,Baja
1,8.8,Receta,0.00097695,0.15999575,0.0009762449999999999,-0.15901879959278106,0.15901879959278106,0–50,Baja
1,9.0,Receta,0.00097638,0.024370993,0.000975665,-0.023394612556214334,0.023394612556214334,0–50,Baja
1,9.2,Receta,0.00097579,0.032419585,0.00097506,-0.03144379469152451,0.03144379469152451,0–50,Baja
1,9.4,Receta,0.00097518,0.0074085356,0.0009744350000000001,-0.006433355573631525,0.006433355573631525,0–50,Baja
1,9.6,Receta,0.00097454,0.01357329,0.0009738,-0.012598749848864079,0.012598749848864079,0–50,Baja
1,9.8,Receta,0.00097391,0.013157248,0.000973145,-0.012183337565686703,0.012183337565686703,0–50,Baja
